"Method","Sorted","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
task, Yes,2,1000000,1.000000e+06,0.552222,0.006246,0.541250,0.559968
task, Yes,4,1000000,1.000000e+06,0.342865,0.006008,0.331779,0.348580
task, Yes,6,1000000,1.000000e+06,0.275286,0.015134,0.258740,0.303163
task, Yes,8,1000000,1.000000e+06,0.246133,0.010086,0.233193,0.256767
task, Yes,10,1000000,1.000000e+06,0.243319,0.025202,0.215214,0.290754
task, Yes,12,1000000,1.000000e+06,0.236732,0.023705,0.218873,0.279424
task, Yes,14,1000000,1.000000e+06,0.269303,0.011438,0.258822,0.284515
task, Yes,16,1000000,1.000000e+06,0.311400,0.029133,0.268401,0.345660
task, Yes,18,1000000,1.000000e+06,0.287944,0.027094,0.258266,0.318851
task, Yes,20,1000000,1.000000e+06,0.339886,0.043959,0.273933,0.405439
task, Yes,22,1000000,1.000000e+06,0.300965,0.013274,0.286008,0.325506
task, Yes,24,1000000,1.000000e+06,0.324173,0.029707,0.286992,0.371630
task, Yes,26,1000000,1.000000e+06,0.339553,0.026766,0.317565,0.391463
task, Yes,28,1000000,1.000000e+06,0.355736,0.018382,0.328919,0.381622
task, Yes,30,1000000,1.000000e+06,0.407987,0.025217,0.374660,0.441858
task, Yes,32,1000000,1.000000e+06,0.399539,0.035398,0.368220,0.468787
task, Yes,34,1000000,1.000000e+06,0.417976,0.055356,0.368427,0.525214
task, Yes,36,1000000,1.000000e+06,0.434056,0.039351,0.373574,0.487973
task, Yes,38,1000000,1.000000e+06,0.416403,0.044800,0.388936,0.505518
task, Yes,40,1000000,1.000000e+06,0.481289,0.053660,0.400159,0.546344
task, Yes,42,1000000,1.000000e+06,0.484640,0.027637,0.449049,0.530846
task, Yes,44,1000000,1.000000e+06,0.453583,0.025391,0.412846,0.483365
task, Yes,46,1000000,1.000000e+06,0.464130,0.042879,0.402488,0.525900
task, Yes,48,1000000,1.000000e+06,0.486910,0.013601,0.469088,0.509774
task, Yes,50,1000000,1.000000e+06,0.529622,0.075252,0.459288,0.675270
task, Yes,52,1000000,1.000000e+06,0.530651,0.055677,0.477143,0.638567
