"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
psrs,Yes,55,2,10000000,1.000000e+07,0.260559,0.004603,0.254831,0.269797
psrs,Yes,56,2,10000000,1.000000e+07,0.291699,0.066781,0.260794,0.491421
psrs,Yes,57,2,10000000,1.000000e+07,0.299747,0.083586,0.251984,0.478385
psrs,Yes,58,2,10000000,1.000000e+07,0.343636,0.101098,0.252361,0.480608
psrs,Yes,59,2,10000000,1.000000e+07,0.319034,0.100422,0.246941,0.506972
psrs,Yes,60,2,10000000,1.000000e+07,0.288426,0.070874,0.243397,0.438615
psrs,Yes,61,2,10000000,1.000000e+07,0.318332,0.128616,0.233671,0.627354
psrs,Yes,62,2,10000000,1.000000e+07,0.302168,0.095761,0.230201,0.450334
psrs,Yes,63,2,10000000,1.000000e+07,0.253431,0.061163,0.229397,0.436667
psrs,Yes,64,2,10000000,1.000000e+07,0.244409,0.014540,0.232998,0.285429
psrs,Yes,65,2,10000000,1.000000e+07,0.304001,0.045512,0.229620,0.410299
psrs,Yes,66,2,10000000,1.000000e+07,0.308211,0.036012,0.247603,0.360982
psrs,Yes,67,2,10000000,1.000000e+07,0.313864,0.023919,0.271423,0.348866
psrs,Yes,68,2,10000000,1.000000e+07,0.322241,0.020204,0.285973,0.355880
psrs,Yes,69,2,10000000,1.000000e+07,0.316306,0.034165,0.242640,0.373752
psrs,Yes,70,2,10000000,1.000000e+07,0.314392,0.032327,0.266097,0.372814
psrs,Yes,71,2,10000000,1.000000e+07,0.307247,0.026385,0.258642,0.351894
psrs,Yes,72,2,10000000,1.000000e+07,0.305790,0.032480,0.267327,0.372858
psrs,Yes,73,2,10000000,1.000000e+07,0.307551,0.045046,0.219187,0.386503
psrs,Yes,74,2,10000000,1.000000e+07,0.322740,0.046886,0.275333,0.419967
psrs,Yes,75,2,10000000,1.000000e+07,0.329256,0.042552,0.265971,0.394984
psrs,Yes,76,2,10000000,1.000000e+07,0.347383,0.064667,0.250270,0.472089
psrs,Yes,77,2,10000000,1.000000e+07,0.327157,0.043856,0.267881,0.413604
psrs,Yes,78,2,10000000,1.000000e+07,0.343731,0.027156,0.303637,0.395270
