"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
psrs,Yes,88,2,100000000,1.000000e+08,2.978944,0.410849,2.406143,3.664500
psrs,Yes,90,2,100000000,1.000000e+08,3.011400,0.391688,2.400776,3.523554
psrs,Yes,92,2,100000000,1.000000e+08,3.047650,0.355570,2.591554,3.723520
psrs,Yes,94,2,100000000,1.000000e+08,2.928779,0.150894,2.702122,3.154981
psrs,Yes,96,2,100000000,1.000000e+08,2.954969,0.378070,2.203790,3.763658
psrs,Yes,98,2,100000000,1.000000e+08,2.988196,0.187710,2.744185,3.348061
psrs,Yes,100,2,100000000,1.000000e+08,2.970018,0.269880,2.315756,3.242485
psrs,Yes,102,2,100000000,1.000000e+08,2.968413,0.139801,2.719904,3.179803
psrs,Yes,104,2,100000000,1.000000e+08,2.984188,0.234925,2.558564,3.268216
psrs,Yes,106,2,100000000,1.000000e+08,3.011580,0.455229,2.285293,3.965447
psrs,Yes,108,2,100000000,1.000000e+08,3.014993,0.225018,2.630955,3.354898
psrs,Yes,110,2,100000000,1.000000e+08,2.935228,0.198307,2.610603,3.341576
psrs,Yes,112,2,100000000,1.000000e+08,2.917026,0.340070,2.210637,3.483405
psrs,Yes,114,2,100000000,1.000000e+08,2.944616,0.182144,2.696622,3.321092
psrs,Yes,116,2,100000000,1.000000e+08,2.909886,0.256041,2.486459,3.410870
psrs,Yes,118,2,100000000,1.000000e+08,3.061024,0.362401,2.491236,3.882393
psrs,Yes,120,2,100000000,1.000000e+08,2.951978,0.356618,2.478099,3.603296
psrs,Yes,122,2,100000000,1.000000e+08,3.037060,0.470920,2.411227,3.681541
psrs,Yes,124,2,100000000,1.000000e+08,3.025306,0.233657,2.768197,3.478350
psrs,Yes,126,2,100000000,1.000000e+08,2.976449,0.271539,2.561370,3.448549
psrs,Yes,128,2,100000000,1.000000e+08,3.632936,0.628853,2.636987,4.539543
