"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
serial,Yes,1,1,100000000,1.000000e+08,139.104991,0.774399,138.307467,141.029255
simple,Yes,1,2,100000000,1.000000e+08,138.586841,1.121303,137.614069,141.671853
simple,Yes,2,2,100000000,1.000000e+08,110.530466,72.910897,7.586205,244.599466
simple,Yes,4,2,100000000,1.000000e+08,41.576479,17.516114,21.593831,72.032825
simple,Yes,8,2,100000000,1.000000e+08,31.472044,14.067904,5.351917,56.991641
simple,Yes,16,2,100000000,1.000000e+08,23.365072,13.703071,1.618382,57.981831
simple,Yes,32,2,100000000,1.000000e+08,22.650910,16.887056,2.230503,66.271265
simple,Yes,64,2,100000000,1.000000e+08,13.779393,7.500385,0.912563,26.865553
simple,Yes,128,2,100000000,1.000000e+08,19.779746,19.015395,0.480456,71.148906
hyper,Yes,1,2,100000000,1.000000e+08,138.224876,1.513817,136.791894,141.922725
hyper,Yes,1,2,100000000,1.000000e+08,137.783677,1.357792,136.252000,141.097715
hyper,Yes,2,2,100000000,1.000000e+08,151.640962,1.106293,150.893969,154.796187
hyper,Yes,4,2,100000000,1.000000e+08,60.189859,2.187042,56.329378,63.482407
hyper,Yes,8,2,100000000,1.000000e+08,41.083625,0.993854,39.905665,43.045446
hyper,Yes,16,2,100000000,1.000000e+08,26.419608,0.931683,24.915058,27.368545
hyper,Yes,32,2,100000000,1.000000e+08,16.747070,0.461735,15.652996,17.150655
hyper,Yes,64,2,100000000,1.000000e+08,11.643609,0.346862,11.104587,12.436926
hyper,Yes,128,2,100000000,1.000000e+08,12.608088,0.521326,11.572856,13.283907
psrs,Yes,1,2,100000000,1.000000e+08,136.939945,0.917174,135.798455,139.133186
psrs,Yes,2,2,100000000,1.000000e+08,149.739503,4.905313,138.352599,154.203020
psrs,Yes,4,2,100000000,1.000000e+08,35.677361,0.341737,35.345974,36.449268
psrs,Yes,6,2,100000000,1.000000e+08,24.474626,0.371955,23.491191,25.013026
psrs,Yes,8,2,100000000,1.000000e+08,17.940251,0.341132,17.118810,18.434763
psrs,Yes,10,2,100000000,1.000000e+08,14.790566,0.111406,14.602995,14.954456
psrs,Yes,12,2,100000000,1.000000e+08,12.449182,0.155262,12.174559,12.626781
psrs,Yes,14,2,100000000,1.000000e+08,10.435532,0.195250,10.153261,10.693345
psrs,Yes,16,2,100000000,1.000000e+08,9.153402,0.110343,8.965371,9.278447
psrs,Yes,18,2,100000000,1.000000e+08,8.310073,0.124782,8.079884,8.473763
psrs,Yes,20,2,100000000,1.000000e+08,7.376332,0.076253,7.211706,7.489028
psrs,Yes,22,2,100000000,1.000000e+08,6.763733,0.087701,6.568405,6.898069
psrs,Yes,24,2,100000000,1.000000e+08,6.218406,0.090212,5.959591,6.303058
psrs,Yes,26,2,100000000,1.000000e+08,5.769544,0.104715,5.465646,5.850787
psrs,Yes,28,2,100000000,1.000000e+08,5.364761,0.101999,5.068972,5.436900
psrs,Yes,30,2,100000000,1.000000e+08,5.036307,0.103023,4.732807,5.100144
psrs,Yes,32,2,100000000,1.000000e+08,4.745067,0.099434,4.471819,4.822630
psrs,Yes,34,2,100000000,1.000000e+08,4.469944,0.097949,4.182893,4.538184
psrs,Yes,36,2,100000000,1.000000e+08,4.286833,0.084433,4.046145,4.371952
psrs,Yes,38,2,100000000,1.000000e+08,3.993932,0.088141,3.740791,4.062957
psrs,Yes,40,2,100000000,1.000000e+08,3.829430,0.093486,3.586440,3.924311
psrs,Yes,42,2,100000000,1.000000e+08,3.677018,0.091135,3.431149,3.776712
psrs,Yes,44,2,100000000,1.000000e+08,3.534596,0.075333,3.324992,3.594507
psrs,Yes,46,2,100000000,1.000000e+08,3.356704,0.072978,3.156848,3.446644
psrs,Yes,48,2,100000000,1.000000e+08,3.241615,0.070831,3.037368,3.295808
psrs,Yes,50,2,100000000,1.000000e+08,3.202209,0.056999,3.043267,3.245773
psrs,Yes,52,2,100000000,1.000000e+08,3.126254,0.061256,2.949496,3.173795
psrs,Yes,54,2,100000000,1.000000e+08,3.017570,0.058697,2.844582,3.056457
psrs,Yes,56,2,100000000,1.000000e+08,2.924329,0.061854,2.746759,2.967057
psrs,Yes,58,2,100000000,1.000000e+08,2.864026,0.062568,2.679862,2.896752
psrs,Yes,60,2,100000000,1.000000e+08,2.816489,0.062430,2.635256,2.864156
psrs,Yes,62,2,100000000,1.000000e+08,2.701480,0.065380,2.521569,2.766525
psrs,Yes,64,2,100000000,1.000000e+08,2.686151,0.206974,2.502426,3.294953
psrs,Yes,66,2,100000000,1.000000e+08,3.029436,0.208537,2.667246,3.425866
psrs,Yes,68,2,100000000,1.000000e+08,2.885421,0.145119,2.593583,3.057973
psrs,Yes,70,2,100000000,1.000000e+08,2.942517,0.201424,2.695897,3.417409
psrs,Yes,72,2,100000000,1.000000e+08,2.885292,0.227928,2.681814,3.505666
psrs,Yes,74,2,100000000,1.000000e+08,3.022025,0.183279,2.637636,3.404390
psrs,Yes,76,2,100000000,1.000000e+08,2.973600,0.112281,2.750456,3.132644
psrs,Yes,78,2,100000000,1.000000e+08,2.964273,0.174258,2.674198,3.264399
psrs,Yes,80,2,100000000,1.000000e+08,2.909690,0.180895,2.615991,3.166599
psrs,Yes,82,2,100000000,1.000000e+08,3.073964,0.273682,2.519333,3.380059
psrs,Yes,84,2,100000000,1.000000e+08,2.995433,0.299315,2.520288,3.593188
psrs,Yes,86,2,100000000,1.000000e+08,3.006523,0.345734,2.582667,3.579449
