"Method","Sorted","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
simple, Yes,58,10000000,1.000000e+07,19.277401,3.941923,17.043341,27.143423
simple, Yes,60,10000000,1.000000e+07,18.686459,2.277025,15.892751,21.985947
simple, Yes,62,10000000,1.000000e+07,21.528951,2.673331,18.035872,25.760314
simple, Yes,64,10000000,1.000000e+07,17.775967,3.230945,14.989138,22.843721
hyper, Yes,2,10000000,1.000000e+07,13.983734,0.115558,13.806195,14.104159
hyper, Yes,4,10000000,1.000000e+07,51.946073,16.081502,34.940706,74.592708
hyper, Yes,16,10000000,1.000000e+07,18.952466,3.547800,13.395016,23.713547
hyper, Yes,18,10000000,1.000000e+07,14.249282,1.724186,12.092954,17.330511
hyper, Yes,20,10000000,1.000000e+07,15.537514,2.065554,12.847168,19.151357
hyper, Yes,30,10000000,1.000000e+07,13.591301,1.504266,12.152730,16.486166
hyper, Yes,34,10000000,1.000000e+07,12.416245,0.349766,11.906066,12.968956
hyper, Yes,44,10000000,1.000000e+07,12.867470,1.457876,11.121680,15.029026
hyper, Yes,46,10000000,1.000000e+07,12.114344,1.071185,11.090421,14.179672
hyper, Yes,48,10000000,1.000000e+07,11.159770,0.407819,10.465033,11.647510
hyper, Yes,50,10000000,1.000000e+07,13.170850,1.817810,10.742847,15.662984
hyper, Yes,52,10000000,1.000000e+07,11.998119,0.440759,11.154733,12.443825
hyper, Yes,58,10000000,1.000000e+07,11.443475,0.486319,10.588279,12.037555
hyper, Yes,60,10000000,1.000000e+07,12.214816,0.568700,11.573499,13.119776
hyper, Yes,62,10000000,1.000000e+07,11.620934,0.384354,11.146313,12.285767
hyper, Yes,64,10000000,1.000000e+07,11.453472,0.300161,11.035935,11.957958
psrs, Yes,2,10000000,1.000000e+07,14.122985,0.098662,13.962079,14.265357
psrs, Yes,4,10000000,1.000000e+07,10.089531,0.282087,9.723489,10.589005
psrs, Yes,6,10000000,1.000000e+07,7.878442,0.199037,7.692916,8.261724
psrs, Yes,8,10000000,1.000000e+07,7.069135,0.134474,6.923218,7.286215
psrs, Yes,10,10000000,1.000000e+07,7.220439,0.372312,6.701108,7.789596
psrs, Yes,12,10000000,1.000000e+07,6.367073,0.095600,6.179499,6.439288
psrs, Yes,14,10000000,1.000000e+07,6.446267,0.431698,6.038904,7.209067
psrs, Yes,16,10000000,1.000000e+07,6.372799,0.393087,5.875046,6.823028
psrs, Yes,18,10000000,1.000000e+07,5.928367,0.082415,5.800628,6.050201
psrs, Yes,20,10000000,1.000000e+07,6.194897,0.451713,5.874984,7.069774
psrs, Yes,22,10000000,1.000000e+07,5.990252,0.244453,5.658869,6.294010
psrs, Yes,24,10000000,1.000000e+07,5.737141,0.143967,5.608554,6.006131
psrs, Yes,26,10000000,1.000000e+07,5.651476,0.101599,5.526486,5.796245
psrs, Yes,28,10000000,1.000000e+07,5.787174,0.219035,5.496719,6.066774
psrs, Yes,30,10000000,1.000000e+07,5.600641,0.066203,5.492146,5.664602
psrs, Yes,32,10000000,1.000000e+07,5.525979,0.092182,5.436604,5.642578
psrs, Yes,34,10000000,1.000000e+07,5.788044,0.434619,5.363850,6.577954
psrs, Yes,36,10000000,1.000000e+07,5.647928,0.246943,5.402065,6.084510
psrs, Yes,38,10000000,1.000000e+07,5.482630,0.127313,5.369760,5.705780
psrs, Yes,40,10000000,1.000000e+07,5.757512,0.261822,5.417532,6.100748
psrs, Yes,42,10000000,1.000000e+07,5.574278,0.184358,5.276608,5.858833
psrs, Yes,44,10000000,1.000000e+07,5.721441,0.325538,5.432427,6.313587
psrs, Yes,46,10000000,1.000000e+07,5.679458,0.310045,5.326331,6.162585
psrs, Yes,48,10000000,1.000000e+07,5.761295,0.181057,5.534879,6.078633
psrs, Yes,50,10000000,1.000000e+07,5.469602,0.108894,5.286003,5.622055
psrs, Yes,52,10000000,1.000000e+07,5.791086,0.302678,5.603491,6.390071
psrs, Yes,54,10000000,1.000000e+07,5.639851,0.162362,5.492494,5.943674
psrs, Yes,56,10000000,1.000000e+07,5.576622,0.163215,5.310762,5.725034
psrs, Yes,58,10000000,1.000000e+07,5.877227,0.340273,5.564332,6.526243
psrs, Yes,60,10000000,1.000000e+07,5.533476,0.170205,5.296701,5.756578
psrs, Yes,62,10000000,1.000000e+07,5.599892,0.094668,5.456133,5.726172
psrs, Yes,64,10000000,1.000000e+07,5.885557,0.372115,5.563219,6.450094
serial, Yes,1,10000000,1.000000e+07,12.431104,0.150364,12.283864,12.698817
