"Method","Sorted","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
task, Yes,2,10000000,1.000000e+07,6.462823,0.058365,6.373433,6.522995
task, Yes,4,10000000,1.000000e+07,3.685689,0.072393,3.621043,3.806330
task, Yes,6,10000000,1.000000e+07,2.794269,0.067186,2.721346,2.917817
task, Yes,8,10000000,1.000000e+07,2.360014,0.055770,2.283839,2.453303
task, Yes,10,10000000,1.000000e+07,2.182498,0.033118,2.128426,2.223529
task, Yes,12,10000000,1.000000e+07,2.137547,0.027022,2.084377,2.156653
task, Yes,14,10000000,1.000000e+07,2.072658,0.065632,1.996784,2.180394
task, Yes,16,10000000,1.000000e+07,2.093526,0.056169,2.007321,2.166896
task, Yes,18,10000000,1.000000e+07,2.187004,0.067465,2.078421,2.283218
task, Yes,20,10000000,1.000000e+07,2.126590,0.099809,1.960343,2.227829
task, Yes,22,10000000,1.000000e+07,2.374610,0.081564,2.251952,2.478169
task, Yes,24,10000000,1.000000e+07,2.364711,0.135267,2.117169,2.505205
task, Yes,26,10000000,1.000000e+07,2.326108,0.102028,2.161639,2.483732
task, Yes,28,10000000,1.000000e+07,2.524056,0.112211,2.308429,2.619585
task, Yes,30,10000000,1.000000e+07,2.576777,0.144102,2.387111,2.750176
task, Yes,32,10000000,1.000000e+07,2.785600,0.151057,2.561094,3.035820
task, Yes,34,10000000,1.000000e+07,2.545107,0.098826,2.436363,2.686841
task, Yes,36,10000000,1.000000e+07,2.738833,0.080210,2.620831,2.818045
task, Yes,38,10000000,1.000000e+07,2.751538,0.247094,2.406334,3.131374
task, Yes,40,10000000,1.000000e+07,2.796954,0.112904,2.681445,2.937751
task, Yes,42,10000000,1.000000e+07,2.794694,0.203393,2.487422,3.094124
task, Yes,44,10000000,1.000000e+07,2.858336,0.172840,2.535569,3.019176
task, Yes,46,10000000,1.000000e+07,2.776110,0.087900,2.643883,2.902212
task, Yes,48,10000000,1.000000e+07,2.646199,0.103481,2.495095,2.757593
task, Yes,50,10000000,1.000000e+07,2.802589,0.082905,2.658088,2.896262
task, Yes,52,10000000,1.000000e+07,2.885127,0.081778,2.808413,2.997557
task, Yes,54,10000000,1.000000e+07,2.920614,0.086430,2.795462,3.039912
task, Yes,56,10000000,1.000000e+07,2.887810,0.214006,2.620060,3.236582
task, Yes,58,10000000,1.000000e+07,2.884473,0.238248,2.607262,3.309222
task, Yes,60,10000000,1.000000e+07,2.904910,0.209314,2.646976,3.168710
task, Yes,62,10000000,1.000000e+07,2.999190,0.160351,2.725240,3.226069
task, Yes,64,10000000,1.000000e+07,3.012975,0.210244,2.671483,3.256880
simple, Yes,2,10000000,1.000000e+07,11.193544,1.521196,9.309993,13.974452
simple, Yes,4,10000000,1.000000e+07,13.617921,1.392576,11.087480,15.362927
simple, Yes,6,10000000,1.000000e+07,14.889901,4.169658,11.251887,22.590831
simple, Yes,8,10000000,1.000000e+07,14.107096,1.441903,12.545479,16.199319
simple, Yes,10,10000000,1.000000e+07,15.799269,2.142432,13.843011,19.369202
simple, Yes,12,10000000,1.000000e+07,16.793764,3.412725,12.388144,22.057075
simple, Yes,14,10000000,1.000000e+07,15.490678,1.366629,14.241547,17.401693
simple, Yes,16,10000000,1.000000e+07,14.242797,2.376885,12.139863,18.883330
simple, Yes,18,10000000,1.000000e+07,15.488001,3.618724,11.430030,20.890569
simple, Yes,20,10000000,1.000000e+07,16.986298,1.974196,13.783431,19.265897
simple, Yes,22,10000000,1.000000e+07,16.540276,1.068540,15.202910,17.950241
simple, Yes,24,10000000,1.000000e+07,22.498068,4.879293,17.795011,29.235401
simple, Yes,26,10000000,1.000000e+07,19.661895,1.978328,15.790436,21.067305
simple, Yes,28,10000000,1.000000e+07,18.796569,2.585400,15.403612,23.160369
simple, Yes,30,10000000,1.000000e+07,19.225743,4.166388,14.468652,24.280989
simple, Yes,32,10000000,1.000000e+07,18.731313,5.024419,13.522916,27.611568
simple, Yes,34,10000000,1.000000e+07,19.003219,4.151548,14.970395,26.859289
simple, Yes,36,10000000,1.000000e+07,18.177274,1.456650,15.920427,20.200393
simple, Yes,38,10000000,1.000000e+07,19.777835,4.488292,12.793475,25.281581
simple, Yes,40,10000000,1.000000e+07,19.486596,2.073415,15.571836,21.157104
simple, Yes,42,10000000,1.000000e+07,21.847961,5.190561,15.646347,30.630539
simple, Yes,44,10000000,1.000000e+07,22.016542,5.638869,15.017894,30.425221
simple, Yes,46,10000000,1.000000e+07,19.140325,4.052514,12.558038,23.895396
simple, Yes,48,10000000,1.000000e+07,18.856423,5.530209,13.476040,28.654501
simple, Yes,50,10000000,1.000000e+07,19.037786,3.243624,16.203355,25.233196
simple, Yes,52,10000000,1.000000e+07,21.954891,1.932468,20.294992,25.540739
simple, Yes,54,10000000,1.000000e+07,18.744407,2.830132,15.764955,22.229204
simple, Yes,56,10000000,1.000000e+07,20.788335,3.414520,16.053940,26.065556
