"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
psrs,Yes,36,2,36000000,3.600000e+07,1.442155,0.024493,1.375613,1.463501
psrs,Yes,37,2,37000000,3.700000e+07,1.456576,0.027613,1.375246,1.477825
psrs,Yes,38,2,38000000,3.800000e+07,1.451058,0.037277,1.344229,1.481680
psrs,Yes,39,2,39000000,3.900000e+07,1.453234,0.032245,1.359803,1.478968
psrs,Yes,40,2,40000000,4.000000e+07,1.469890,0.034318,1.369134,1.490028
psrs,Yes,41,2,41000000,4.100000e+07,1.483678,0.052743,1.373245,1.597752
psrs,Yes,42,2,42000000,4.200000e+07,1.481224,0.032281,1.395410,1.523209
psrs,Yes,43,2,43000000,4.300000e+07,1.489878,0.036275,1.387939,1.522212
psrs,Yes,44,2,44000000,4.400000e+07,1.495697,0.028596,1.413385,1.522437
psrs,Yes,45,2,45000000,4.500000e+07,1.505487,0.040893,1.401638,1.573007
psrs,Yes,46,2,46000000,4.600000e+07,1.504253,0.036946,1.406126,1.552789
psrs,Yes,47,2,47000000,4.700000e+07,1.504672,0.025106,1.430785,1.522149
psrs,Yes,48,2,48000000,4.800000e+07,1.519264,0.047119,1.395873,1.583110
psrs,Yes,49,2,49000000,4.900000e+07,1.560584,0.033066,1.464055,1.586170
psrs,Yes,50,2,50000000,5.000000e+07,1.584834,0.050141,1.455092,1.662455
psrs,Yes,51,2,51000000,5.100000e+07,1.583340,0.038257,1.488001,1.638764
psrs,Yes,52,2,52000000,5.200000e+07,1.621750,0.072051,1.492994,1.750859
psrs,Yes,53,2,53000000,5.300000e+07,1.604941,0.035073,1.514131,1.662527
psrs,Yes,54,2,54000000,5.400000e+07,1.595407,0.039617,1.480619,1.633268
psrs,Yes,55,2,55000000,5.500000e+07,1.600846,0.045372,1.479471,1.663111
psrs,Yes,56,2,56000000,5.600000e+07,1.614219,0.033004,1.533406,1.645666
psrs,Yes,57,2,57000000,5.700000e+07,1.633677,0.045414,1.515420,1.687749
psrs,Yes,58,2,58000000,5.800000e+07,1.781028,0.388369,1.526854,2.931531
psrs,Yes,59,2,59000000,5.900000e+07,1.656525,0.064338,1.543363,1.821538
psrs,Yes,60,2,60000000,6.000000e+07,1.703512,0.078109,1.581544,1.877859
psrs,Yes,61,2,61000000,6.100000e+07,1.640249,0.038921,1.534905,1.675116
psrs,Yes,62,2,62000000,6.200000e+07,1.683393,0.056460,1.570780,1.820364
psrs,Yes,63,2,63000000,6.300000e+07,1.646217,0.043999,1.526386,1.702813
psrs,Yes,64,2,64000000,6.400000e+07,1.693547,0.074761,1.550667,1.841303
psrs,Yes,65,2,65000000,6.500000e+07,1.918977,0.070483,1.819734,2.047764
psrs,Yes,66,2,66000000,6.600000e+07,2.016887,0.103103,1.816938,2.165187
psrs,Yes,67,2,67000000,6.700000e+07,1.964229,0.089286,1.818492,2.137974
psrs,Yes,68,2,68000000,6.800000e+07,1.965425,0.107224,1.794563,2.135366
psrs,Yes,69,2,69000000,6.900000e+07,1.959341,0.084948,1.807818,2.054428
psrs,Yes,70,2,70000000,7.000000e+07,2.027979,0.110959,1.835912,2.206828
psrs,Yes,71,2,71000000,7.100000e+07,2.060552,0.173055,1.851030,2.443478
psrs,Yes,72,2,72000000,7.200000e+07,2.029359,0.163526,1.771893,2.398837
psrs,Yes,73,2,73000000,7.300000e+07,2.195411,0.147821,1.916150,2.380264
psrs,Yes,74,2,74000000,7.400000e+07,2.269369,0.175967,1.934337,2.548774
psrs,Yes,75,2,75000000,7.500000e+07,2.233509,0.137049,1.935395,2.397813
psrs,Yes,76,2,76000000,7.600000e+07,2.249061,0.161497,1.956048,2.532490
psrs,Yes,77,2,77000000,7.700000e+07,2.293301,0.132152,2.075754,2.552236
psrs,Yes,78,2,78000000,7.800000e+07,2.361154,0.299484,2.041747,2.918584
psrs,Yes,79,2,79000000,7.900000e+07,2.344071,0.213281,2.051353,2.715466
psrs,Yes,80,2,80000000,8.000000e+07,2.362521,0.169058,2.158146,2.793673
psrs,Yes,81,2,81000000,8.100000e+07,2.397005,0.176877,2.052028,2.645492
psrs,Yes,82,2,82000000,8.200000e+07,2.536062,0.189519,2.217766,2.835768
psrs,Yes,83,2,83000000,8.300000e+07,2.520217,0.297240,1.937940,3.108685
psrs,Yes,84,2,84000000,8.400000e+07,2.508134,0.230049,2.041505,2.910189
psrs,Yes,85,2,85000000,8.500000e+07,2.566495,0.330226,2.064129,3.086329
psrs,Yes,86,2,86000000,8.600000e+07,2.579865,0.324503,2.250239,3.421411
psrs,Yes,87,2,87000000,8.700000e+07,2.641358,0.250465,2.208389,3.022382
psrs,Yes,88,2,88000000,8.800000e+07,2.704480,0.245914,2.302145,3.087813
psrs,Yes,89,2,89000000,8.900000e+07,2.671024,0.391296,1.831171,3.252371
psrs,Yes,90,2,90000000,9.000000e+07,2.752050,0.352213,2.315689,3.461783
psrs,Yes,91,2,91000000,9.100000e+07,2.749502,0.367601,2.045281,3.275056
psrs,Yes,92,2,92000000,9.200000e+07,2.758108,0.339835,2.274565,3.202990
psrs,Yes,93,2,93000000,9.300000e+07,2.809931,0.259116,2.334487,3.296667
psrs,Yes,94,2,94000000,9.400000e+07,2.816145,0.367097,2.152396,3.601381
psrs,Yes,95,2,95000000,9.500000e+07,2.808993,0.426946,2.388300,3.928982
psrs,Yes,96,2,96000000,9.600000e+07,2.874488,0.407787,2.174176,3.558169
psrs,Yes,97,2,97000000,9.700000e+07,2.884282,0.241499,2.543601,3.273313
psrs,Yes,98,2,98000000,9.800000e+07,2.913615,0.342872,2.538316,3.390335
psrs,Yes,99,2,99000000,9.900000e+07,2.976080,0.307274,2.566887,3.607108
psrs,Yes,100,2,100000000,1.000000e+08,3.055301,0.370210,2.653917,4.078031
psrs,Yes,101,2,101000000,1.010000e+08,3.019854,0.345414,2.500484,3.543505
psrs,Yes,102,2,102000000,1.020000e+08,3.048291,0.258079,2.813975,3.657140
psrs,Yes,103,2,103000000,1.030000e+08,3.046011,0.435721,2.597014,4.186778
psrs,Yes,104,2,104000000,1.040000e+08,3.138149,0.320459,2.523645,3.652494
psrs,Yes,105,2,105000000,1.050000e+08,3.156011,0.315291,2.519030,3.780603
psrs,Yes,106,2,106000000,1.060000e+08,3.294626,0.377435,2.787346,4.022079
psrs,Yes,107,2,107000000,1.070000e+08,3.217912,0.267237,2.833993,3.671046
psrs,Yes,108,2,108000000,1.080000e+08,3.292678,0.329393,2.781535,4.066801
psrs,Yes,109,2,109000000,1.090000e+08,3.248403,0.350964,2.774843,3.797788
psrs,Yes,110,2,110000000,1.100000e+08,3.308880,0.424393,2.630201,3.783546
psrs,Yes,111,2,111000000,1.110000e+08,3.272773,0.357237,2.733286,3.791403
psrs,Yes,112,2,112000000,1.120000e+08,3.325173,0.615418,2.467358,4.504702
psrs,Yes,113,2,113000000,1.130000e+08,3.399028,0.286715,3.057172,4.023480
psrs,Yes,114,2,114000000,1.140000e+08,3.389444,0.324845,2.727030,3.820405
psrs,Yes,115,2,115000000,1.150000e+08,3.473605,0.406334,2.871788,4.255424
psrs,Yes,116,2,116000000,1.160000e+08,3.492007,0.497259,2.536042,4.343718
psrs,Yes,117,2,117000000,1.170000e+08,3.444874,0.281691,2.826912,3.902085
psrs,Yes,118,2,118000000,1.180000e+08,3.513727,0.297451,3.194687,4.204009
psrs,Yes,119,2,119000000,1.190000e+08,3.475348,0.323260,2.953052,4.176774
psrs,Yes,120,2,120000000,1.200000e+08,3.691856,0.452630,2.910728,4.637366
psrs,Yes,121,2,121000000,1.210000e+08,3.640016,0.466529,3.092522,4.798950
psrs,Yes,122,2,122000000,1.220000e+08,3.652077,0.245975,3.200579,4.163603
psrs,Yes,123,2,123000000,1.230000e+08,3.616553,0.283881,3.279385,4.201286
psrs,Yes,124,2,124000000,1.240000e+08,3.624050,0.362358,2.963271,4.238471
psrs,Yes,125,2,125000000,1.250000e+08,3.665208,0.226814,3.374368,4.056950
psrs,Yes,126,2,126000000,1.260000e+08,3.724981,0.206328,3.375600,4.049573
psrs,Yes,127,2,127000000,1.270000e+08,3.753178,0.178248,3.555031,4.045243
psrs,Yes,128,2,128000000,1.280000e+08,4.870751,0.635202,3.515971,5.498587
